,sd,b,sv,+,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,fo_o_fw_"_by_bc,na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,bd,t1,^g,qw^d,fa,ft
ad,0.6536662588779373,0.010375654902824402,0.2905183372790832,0.010375654902824402,0.020751309805648804,0.0,0.0,0.10375654902824401,0.0,0.0,0.031126964708473204,0.010375654902824402,0.0,0.0,0.010375654902824402,0.0,0.0,0.0726295843197708,0.0,0.0,0.0,0.6847932235864105,0.0,0.0,0.010375654902824402,0.0,0.020751309805648804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031126964708473204,0.0
^2,0.7181340884494163,0.01632122928294128,0.4243519613564733,0.35906704422470814,0.11424860498058896,0.01632122928294128,0.06528491713176512,0.01632122928294128,0.0,0.0,0.01632122928294128,0.0,0.0,0.0,0.0,0.0,0.0,0.048963687848823836,0.03264245856588256,0.0,0.0,0.0,0.3917095027905907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b^m,0.694145697998749,0.651646981794744,0.1416623873466835,0.1416623873466835,0.12749614861201514,0.07083119367334174,0.0,0.028332477469336696,0.0,0.028332477469336696,0.04249871620400505,0.0,0.04249871620400505,0.0,0.0,0.0,0.0,0.014166238734668348,0.0,0.0,0.014166238734668348,0.0,0.11332990987734679,0.11332990987734679,0.0,0.0,0.028332477469336696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qo,0.0,0.0,0.0,0.009908763966219123,0.009908763966219123,0.0,0.0,0.05945258379731473,0.0,0.0,0.0,0.2675366270879163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9611501047232549,0.029726291898657366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qh,0.3332052513561424,0.0,0.19600308903302494,0.13720216232311744,0.07840123561320997,0.019600308903302492,0.019600308903302492,0.39200617806604987,0.0,0.0,0.0,0.4508071047759573,0.0,0.0,0.0,0.019600308903302492,0.0,0.0,0.039200617806604984,0.0,0.0,0.0,0.039200617806604984,0.0,0.13720216232311744,0.6664105027122847,0.0,0.0,0.0,0.039200617806604984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
^h,0.7835275464833553,0.07835275464833553,0.02611758488277851,0.05223516976555702,0.05223516976555702,0.0,0.07835275464833553,0.0,0.0,0.02611758488277851,0.02611758488277851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02611758488277851,0.0,0.02611758488277851,0.02611758488277851,0.0,0.0,0.0,0.0,0.6007044523039058,0.02611758488277851,0.0,0.0,0.05223516976555702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar,0.3144854510165755,0.0,0.026207120918047958,0.026207120918047958,0.026207120918047958,0.7862136275414388,0.0,0.0,0.0,0.0,0.0,0.0,0.5241424183609592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07862136275414387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ng,0.9447780870674429,0.0,0.07267523746672638,0.0,0.02422507915557546,0.0,0.04845015831115092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19380063324460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2422507915557546,0.0,0.04845015831115092,0.0,0.0,0.02422507915557546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
br,0.0,0.03869116162670684,0.0,0.0,0.0,0.0,0.0,0.5416762627738958,0.0,0.0,0.0,0.19345580813353422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03869116162670684,0.0,0.0,0.0,0.0,0.8125143941608437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07738232325341368,0.0
no,0.8385566513510483,0.0,0.11566298639324804,0.0,0.02891574659831201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05783149319662402,0.0,0.0,0.0,0.0,0.0,0.08674723979493604,0.0,0.0,0.0,0.0,0.0,0.02891574659831201,0.0,0.0,0.0,0.5204834387696162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fp,0.22067624415538759,0.018389687012948967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018389687012948967,0.018389687012948967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018389687012948967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746534116862952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qrr,0.07129230057995191,0.0,0.0,0.0,0.035646150289975954,0.0,0.0,0.35646150289975953,0.0,0.0,0.0,0.035646150289975954,0.0,0.0,0.0,0.0,0.035646150289975954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07129230057995191,0.0,0.0,0.0,0.0,0.0,0.0,0.9267999075393748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arp_nd,0.9474926722027046,0.0,0.2915362068316014,0.0,0.10932607756185053,0.03644202585395018,0.0,0.03644202585395018,0.0,0.0,0.0,0.0,0.0,0.0,0.03644202585395018,0.0,0.0,0.0,0.0,0.0,0.03644202585395018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.8890008890013334,0.1270001270001905,0.1270001270001905,0.1270001270001905,0.1270001270001905,0.0,0.254000254000381,0.0,0.0,0.0,0.1270001270001905,0.0,0.1270001270001905,0.0,0.0,0.0,0.0,0.1270001270001905,0.0,0.0,0.0,0.1270001270001905,0.0,0.0,0.0,0.1270001270001905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oo_co_cc,0.9866022655651318,0.0,0.061662641597820735,0.0,0.0,0.0,0.0,0.061662641597820735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12332528319564147,0.0,0.0,0.0,0.061662641597820735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aap_am,0.6099942813304187,0.0,0.6099942813304187,0.0,0.0,0.457495710997814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15249857033260467,0.0,0.0,0.0,0.0,0.0,0.15249857033260467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bd,0.6082287370157644,0.07602859212697055,0.1520571842539411,0.0,0.0,0.07602859212697055,0.6082287370157644,0.0,0.0,0.0,0.1520571842539411,0.0,0.38014296063485276,0.0,0.0,0.0,0.0,0.07602859212697055,0.0,0.0,0.0,0.22808577638091165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.46188021535170054,0.0,0.11547005383792514,0.11547005383792514,0.11547005383792514,0.0,0.0,0.11547005383792514,0.0,0.0,0.0,0.808290376865476,0.0,0.11547005383792514,0.11547005383792514,0.0,0.0,0.0,0.0,0.0,0.11547005383792514,0.0,0.0,0.0,0.11547005383792514,0.11547005383792514,0.11547005383792514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
^g,0.0,0.3682298471593294,0.0,0.0,0.0,0.09205746178983235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205746178983234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09205746178983235,0.0,0.0,0.0
qw^d,0.9561828874675149,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.23904572186687872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fa,0.21566554640687682,0.0,0.0,0.0,0.10783277320343841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704949588309457,0.0
ft,0.0,0.0,0.0,0.0,0.0,0.0,0.07647191129018725,0.0,0.0,0.0,0.8411910241920598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5353033790313108
